0.514,1.028,0.087,-0.732,-36.865,196.899
0.507,0.922,0.085,-8.972,-46.021,202.393
0.518,0.783,0.047,-4.333,-55.420,205.811
0.561,0.654,0.009,8.179,-60.242,207.275
0.577,0.563,-0.046,23.987,-60.547,208.862
0.572,0.491,-0.090,37.048,-60.486,210.876
0.564,0.406,-0.113,44.373,-61.401,213.196
0.554,0.313,-0.101,49.011,-62.134,215.393
0.537,0.250,-0.073,50.354,-62.378,213.135
0.515,0.185,-0.083,46.265,-65.063,205.811
0.459,0.136,-0.118,41.443,-67.871,198.364
0.409,0.116,-0.143,38.940,-67.627,193.665
0.344,0.051,-0.195,34.851,-64.758,191.895
0.281,-0.073,-0.203,33.081,-59.753,188.843
0.216,-0.138,-0.183,36.499,-54.565,181.335
0.137,-0.164,-0.185,39.124,-49.744,169.678
0.055,-0.193,-0.191,35.522,-45.898,157.898
-0.001,-0.225,-0.197,31.250,-42.542,148.560
-0.080,-0.284,-0.192,27.344,-37.170,139.709
-0.146,-0.332,-0.164,23.926,-30.945,126.709
-0.234,-0.346,-0.156,20.935,-25.330,108.154
-0.314,-0.357,-0.150,16.479,-20.386,86.914
-0.416,-0.334,-0.143,12.146,-15.930,68.237
-0.503,-0.295,-0.113,6.592,-12.695,55.359
-0.559,-0.269,-0.061,1.465,-12.390,48.462
-0.619,-0.229,-0.020,-2.991,-14.526,44.434
-0.657,-0.167,0.007,-5.554,-17.334,41.565
-0.684,-0.105,0.024,-5.005,-19.653,38.879
-0.696,-0.047,0.023,-3.418,-20.203,36.011
-0.704,0.010,0.001,-2.502,-18.799,32.166
-0.702,0.066,-0.008,-4.211,-17.395,24.231
-0.711,0.113,-0.008,-7.019,-15.320,14.160
-0.735,0.178,-0.007,-8.301,-11.536,4.272
-0.751,0.242,-0.006,-9.277,-6.165,-5.249
-0.773,0.301,0.007,-9.888,-0.122,-11.658
-0.776,0.351,0.029,-8.667,6.348,-15.320
-0.785,0.385,0.048,-4.211,13.062,-16.296
-0.798,0.423,0.071,0.549,18.494,-16.174
-0.815,0.460,0.104,4.578,19.836,-15.259
-0.827,0.493,0.137,6.592,16.663,-13.611
-0.824,0.508,0.175,8.057,11.719,-12.024
-0.821,0.523,0.204,10.071,7.263,-11.292
-0.823,0.538,0.221,13.306,3.845,-10.681
-0.823,0.562,0.226,16.907,0.488,-10.498
-0.825,0.582,0.211,17.273,-2.319,-10.864
-0.824,0.597,0.197,14.648,-3.174,-10.925
-0.813,0.602,0.176,11.230,-1.587,-9.888
-0.803,0.602,0.159,7.812,1.831,-7.690
-0.797,0.603,0.153,4.578,5.615,-6.104
-0.802,0.599,0.148,0.793,8.423,-5.920
-0.809,0.592,0.152,-3.296,9.644,-5.798
-0.823,0.590,0.159,-5.615,9.338,-5.554
-0.829,0.585,0.161,-5.432,8.301,-4.883
-0.827,0.581,0.167,-3.784,6.775,-3.601
-0.833,0.576,0.172,-1.343,5.432,-2.502
-0.845,0.570,0.176,0.610,4.089,-2.441
-0.858,0.565,0.178,0.427,1.831,-3.296
-0.869,0.564,0.178,-2.136,-0.854,-3.845
-0.872,0.558,0.177,-3.845,-2.441,-3.662
-0.868,0.556,0.174,-3.662,-3.113,-2.747
-0.855,0.546,0.166,-1.709,-3.357,-0.977
-0.842,0.540,0.158,1.831,-3.601,0.610
-0.829,0.544,0.145,5.737,-3.723,1.831
-0.823,0.549,0.135,8.667,-4.150,2.563
-0.808,0.550,0.136,10.498,-4.150,3.357
-0.799,0.549,0.136,11.963,-2.930,3.967
-0.800,0.552,0.136,12.207,-1.221,3.540
-0.802,0.549,0.146,10.437,0.183,2.319
-0.813,0.547,0.151,6.592,1.648,0.427
-0.816,0.539,0.158,2.441,2.930,-0.732
-0.816,0.521,0.168,-0.305,3.967,-1.404
-0.825,0.516,0.171,-0.366,4.456,-1.648
-0.828,0.521,0.164,0.671,3.174,-1.343
-0.823,0.518,0.157,1.160,1.221,-0.244
-0.814,0.513,0.156,1.343,-0.244,1.160
-0.814,0.514,0.157,1.587,-0.854,2.014
-0.811,0.509,0.156,1.221,-1.404,2.014
-0.810,0.500,0.159,0.854,-1.587,1.770
-0.814,0.502,0.159,1.099,-1.282,1.648
-0.825,0.511,0.159,1.526,-0.549,0.916
-0.831,0.521,0.158,1.465,0.183,0.061
-0.835,0.523,0.157,0.305,0.305,0.183
-0.829,0.516,0.162,-0.610,0.427,0.366
-0.829,0.513,0.166,0.122,0.977,0.671
-0.825,0.515,0.166,1.648,1.587,0.854
-0.823,0.515,0.163,3.479,2.014,1.465
-0.820,0.517,0.165,4.395,1.831,2.136
-0.817,0.514,0.167,4.395,0.977,2.197
-0.814,0.511,0.165,3.418,-0.488,1.282
-0.816,0.509,0.165,2.502,-1.343,0.244
-0.813,0.512,0.165,1.709,-1.770,-0.244
-0.820,0.518,0.165,1.038,-2.319,-0.671
-0.820,0.523,0.162,0.366,-2.930,-1.160
-0.819,0.525,0.160,-0.122,-3.235,-1.465
-0.815,0.524,0.161,0.000,-3.052,-1.221
-0.813,0.529,0.157,0.671,-2.625,-1.648
-0.811,0.531,0.150,1.160,-2.197,-1.770
-0.396,1.776,0.421,-108.887,1.953,-2.441
-0.421,1.855,0.460,-119.141,4.517,4.944
-0.442,1.912,0.484,-124.634,4.395,14.709
-0.423,1.995,0.471,-125.183,-0.366,26.001
-0.375,2.074,0.430,-121.155,-8.301,37.231
-0.330,2.120,0.357,-115.662,-15.137,48.828
-0.292,2.119,0.277,-108.398,-18.066,62.622
-0.248,2.075,0.228,-96.008,-17.273,78.003
-0.204,2.004,0.177,-80.444,-13.367,94.421
-0.159,1.913,0.147,-61.340,-6.775,113.281
-0.132,1.832,0.137,-39.551,1.526,132.507
-0.105,1.760,0.150,-16.968,10.071,150.085
-0.090,1.687,0.154,2.808,16.052,164.062
-0.065,1.606,0.165,18.250,19.470,174.805
-0.042,1.545,0.163,29.541,18.555,182.068
-0.017,1.511,0.154,32.104,14.160,183.655
0.006,1.465,0.163,23.987,8.118,180.542
0.003,1.429,0.178,9.094,4.211,178.406
-0.015,1.375,0.203,-4.761,2.258,179.565
-0.021,1.309,0.238,-12.329,0.488,182.983
-0.018,1.247,0.272,-11.841,-2.014,186.157
0.002,1.189,0.293,-4.272,-4.456,187.744
0.006,1.140,0.290,7.996,-5.737,190.186
0.029,1.097,0.250,20.203,-6.104,193.604
0.031,1.052,0.203,29.297,-6.836,193.359
0.028,1.023,0.180,31.494,-10.010,186.768
0.023,0.994,0.170,27.405,-15.259,178.711
-0.011,0.960,0.157,20.081,-21.179,173.096
-0.017,0.919,0.146,12.939,-26.123,170.715
-0.011,0.855,0.134,8.850,-29.236,171.509
-0.014,0.787,0.121,8.362,-30.090,173.584
-0.008,0.740,0.110,10.864,-30.457,174.622
0.008,0.693,0.081,15.442,-31.799,173.645
0.019,0.638,0.049,20.813,-33.264,172.913
0.040,0.569,0.027,27.954,-34.119,172.852
0.044,0.498,-0.006,37.109,-34.241,173.096
0.043,0.436,-0.048,45.837,-33.447,172.546
0.025,0.384,-0.082,50.781,-32.410,169.006
0.001,0.337,-0.111,50.232,-31.860,162.415
-0.026,0.293,-0.128,44.067,-31.616,153.748
-0.035,0.242,-0.140,34.851,-31.006,143.860
-0.043,0.185,-0.155,25.513,-29.175,133.728
-0.058,0.132,-0.166,18.677,-25.146,124.695
-0.073,0.078,-0.170,16.479,-19.409,117.188
-0.098,0.020,-0.169,19.714,-13.611,110.596
-0.143,-0.030,-0.153,26.062,-8.484,104.614
-0.194,-0.073,-0.146,33.875,-5.066,97.839
-0.249,-0.109,-0.136,40.955,-2.808,90.210
-0.301,-0.122,-0.120,46.692,-0.916,82.397
-0.334,-0.118,-0.099,49.194,0.122,74.829
-0.366,-0.118,-0.088,46.570,0.549,67.017
-0.404,-0.105,-0.061,38.879,-0.671,58.716
-0.444,-0.100,-0.052,29.053,-2.502,50.293
-0.482,-0.084,-0.049,19.470,-3.540,41.687
-0.520,-0.058,-0.035,11.597,-3.540,33.936
-0.558,-0.020,-0.028,6.348,-2.563,28.687
-0.578,0.028,-0.021,3.967,-0.671,25.696
-0.602,0.074,-0.004,2.686,1.404,22.705
-0.637,0.111,0.021,1.709,3.113,18.982
