aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.561,0.145,-0.828,3.357,2.686,0.183,0.326,-0.53,-0.786,1.404,2.319,-1.16
0.554,0.156,-0.832,3.845,2.441,0.793,0.329,-0.525,-0.781,2.075,0.916,0.732
0.549,0.164,-0.83,4.639,1.282,0.61,0.339,-0.523,-0.783,2.686,-0.122,2.38
0.547,0.156,-0.822,5.432,0.732,0.305,0.344,-0.525,-0.785,3.662,-0.183,3.479
0.545,0.15,-0.814,5.432,0.732,0.0,0.348,-0.527,-0.783,4.089,0.183,3.967
0.549,0.146,-0.814,4.517,1.221,0.0,0.35,-0.524,-0.783,3.967,0.854,4.089
0.548,0.149,-0.82,3.54,1.77,0.122,0.353,-0.521,-0.785,4.456,1.221,3.967
0.546,0.161,-0.822,2.625,2.197,0.549,0.354,-0.52,-0.788,4.944,1.221,3.723
0.541,0.173,-0.828,2.136,2.441,0.305,0.357,-0.512,-0.794,5.066,1.587,3.54
0.547,0.172,-0.835,2.319,2.808,-0.61,0.363,-0.51,-0.797,6.165,2.258,3.357
0.559,0.168,-0.844,2.747,3.235,-1.648,0.364,-0.515,-0.798,7.141,2.258,2.686
0.566,0.16,-0.849,2.686,3.052,-2.258,0.362,-0.517,-0.804,7.935,1.709,2.197
0.568,0.151,-0.847,2.38,2.075,-2.441,0.362,-0.518,-0.805,8.545,1.526,1.831
0.567,0.151,-0.846,1.892,1.221,-2.258,0.359,-0.52,-0.809,8.789,1.465,1.831
0.564,0.142,-0.836,2.258,0.488,-2.075,0.359,-0.517,-0.82,8.484,1.587,2.197
0.564,0.134,-0.829,2.441,0.305,-1.465,0.359,-0.519,-0.827,7.812,2.38,2.747
0.562,0.126,-0.826,2.441,0.671,-0.549,0.365,-0.516,-0.835,6.47,2.991,3.296
0.561,0.125,-0.821,1.77,0.732,0.244,0.372,-0.508,-0.84,5.005,3.418,3.479
0.558,0.133,-0.823,0.61,1.099,1.221,0.38,-0.503,-0.841,4.089,2.991,3.052
0.553,0.149,-0.831,-0.244,1.648,2.075,0.384,-0.504,-0.837,3.357,1.77,2.136
0.554,0.158,-0.832,-0.488,1.526,2.258,0.381,-0.509,-0.835,2.747,0.305,1.221
0.554,0.164,-0.835,-0.366,1.526,1.709,0.379,-0.51,-0.827,2.38,-0.671,0.977
0.557,0.169,-0.837,0.183,1.831,1.038,0.377,-0.514,-0.819,1.831,-1.099,0.61
0.557,0.168,-0.829,0.977,1.709,0.0,0.376,-0.518,-0.815,1.648,-0.977,0.244
0.557,0.164,-0.826,1.221,2.014,-0.916,0.374,-0.516,-0.812,1.77,-0.671,-0.549
0.558,0.159,-0.832,1.526,2.991,-0.916,0.37,-0.517,-0.812,2.319,-0.671,-0.977
1.749,-0.113,1.26,-98.206,38.574,-22.034,0.523,-0.821,1.34,8.179,-1.282,29.48
1.894,-0.262,1.265,-131.836,46.631,-12.512,0.593,-0.687,1.465,22.339,20.752,38.757
1.963,-0.324,1.199,-166.931,49.377,3.418,0.732,-0.559,1.522,44.25,47.119,49.377
1.906,-0.246,1.073,-196.899,48.828,29.907,0.923,-0.404,1.529,70.618,66.65,58.899
1.842,-0.209,0.987,-215.698,51.941,64.148,1.16,-0.129,1.5,97.168,75.745,65.491
1.652,-0.122,0.871,-226.074,47.974,84.106,1.52,0.334,1.427,121.643,82.031,68.726
1.489,-0.017,0.774,-232.483,45.044,95.703,1.907,0.79,1.238,147.156,91.309,59.692
1.322,0.074,0.677,-240.967,46.997,101.074,2.31,1.156,0.978,178.284,100.586,30.945
1.193,0.084,0.575,-248.108,52.002,107.727,2.569,1.407,0.649,207.703,108.154,-13.489
0.999,-0.012,0.453,-252.686,53.955,116.394,2.635,1.543,0.273,229.37,111.755,-65.735
0.766,-0.117,0.319,-257.996,56.091,121.765,2.625,1.605,-0.063,240.845,111.389,-118.286
0.44,-0.188,0.089,-264.282,59.448,125.427,2.485,1.574,-0.304,247.437,118.103,-158.02
