aX1,aY1,aZ1,gX1,gY1,gZ1,aX2,aY2,aZ2,gX2,gY2,gZ2
0.05,-0.115,0.945,0.549,2.93,1.831,0.194,0.06,0.985,0.61,-2.502,2.808
0.048,-0.118,0.959,2.014,2.93,0.916,0.191,0.051,0.982,1.831,-2.869,1.709
0.055,-0.119,0.966,3.296,2.686,-0.122,0.185,0.044,0.972,2.502,-2.93,1.038
0.06,-0.121,0.972,3.906,2.502,-0.916,0.176,0.042,0.963,2.625,-2.869,0.305
0.06,-0.126,0.982,4.7,2.38,-0.732,0.17,0.044,0.954,2.136,-2.625,-0.366
0.061,-0.132,0.985,5.249,1.343,-0.183,0.166,0.05,0.948,1.099,-2.319,-0.488
0.052,-0.14,0.993,4.822,-0.122,0.488,0.159,0.06,0.943,-0.427,-2.197,-0.244
0.045,-0.144,0.997,3.357,-0.977,0.488,0.152,0.063,0.935,-1.709,-2.014,-0.122
0.038,-0.143,0.991,1.343,-0.916,0.305,0.15,0.069,0.937,-2.747,-1.831,0.427
0.039,-0.142,0.984,-0.916,-0.244,-0.427,0.15,0.077,0.939,-3.662,-1.648,1.465
0.042,-0.132,0.972,-2.808,0.427,-1.099,0.146,0.075,0.943,-3.845,-1.16,2.075
0.046,-0.129,0.964,-3.357,0.549,-1.221,0.151,0.073,0.95,-2.93,0.183,4.028
0.044,-0.127,0.957,-2.991,0.488,-1.343,0.169,0.067,0.96,-2.075,1.16,4.272
0.041,-0.131,0.959,-1.892,0.122,-1.404,0.177,0.067,0.962,-1.648,1.526,4.517
0.323,1.991,0.84,69.702,-18.677,10.62,0.406,-1.597,1.132,-49.988,-4.272,63.843
0.435,1.957,1.0,106.934,-39.734,29.358,0.651,-1.675,1.236,-56.396,-8.118,54.321
0.47,1.806,1.323,132.202,-57.068,52.49,0.869,-1.647,1.332,-56.091,-15.93,24.902
0.598,1.597,1.588,130.554,-65.308,77.393,1.003,-1.577,1.438,-44.861,-27.405,-19.348
0.714,1.371,1.788,99.915,-60.913,104.065,1.026,-1.475,1.472,-22.339,-36.499,-70.496
0.758,1.067,1.893,45.227,-48.889,130.859,0.994,-1.346,1.385,6.104,-39.734,-118.835
0.869,0.766,1.795,-20.752,-33.386,156.189,0.946,-1.219,1.251,33.142,-39.124,-159.18
0.902,0.507,1.553,-79.041,-20.996,179.871,0.881,-1.023,1.13,50.415,-36.499,-188.782
0.753,0.205,1.205,-113.525,-18.677,199.036,0.897,-0.738,1.028,56.213,-30.701,-207.886
0.568,-0.157,0.901,-117.371,-22.217,205.505,0.945,-0.382,0.935,49.805,-20.996,-221.069
0.478,-0.508,0.654,-93.872,-26.306,194.763,0.851,-0.021,0.861,33.508,-14.771,-231.506
0.465,-0.841,0.578,-53.04,-31.555,171.936,0.731,0.341,0.778,13.611,-19.043,-231.506
0.515,-1.219,0.637,-11.047,-35.95,149.841,0.641,0.734,0.773,-5.798,-33.203,-217.529
0.538,-1.604,0.771,12.268,-35.339,136.23,0.526,1.061,0.82,-18.616,-48.157,-197.388
0.507,-1.904,0.911,12.207,-28.32,129.333,0.364,1.312,0.891,-19.775,-56.824,-179.626
0.476,-2.197,0.974,-6.104,-16.968,123.657,0.25,1.639,0.997,-8.24,-53.955,-160.767
0.457,-2.541,0.972,-35.95,-3.174,118.896,0.174,2.016,1.02,12.756,-39.856,-139.587
0.355,-2.834,0.927,-66.895,13.245,117.676,0.097,2.317,1.008,37.231,-22.522,-119.69
1.086,-4.0,3.135,-103.149,32.593,115.051,0.072,2.581,1.047,52.307,-8.545,-97.534
-2.544,-2.361,-0.227,-304.932,122.864,27.405,1.268,4.0,0.843,49.5,-0.305,-62.317
-1.133,-1.562,-0.556,-280.823,107.117,-58.044,-2.167,-0.113,1.055,-1.282,0.916,-1.587
0.871,-3.067,0.649,14.16,-23.682,-59.509,-0.566,1.45,1.609,48.828,17.822,62.805
0.249,-3.856,2.054,128.479,-52.917,-62.622,0.032,2.582,1.011,137.817,54.688,127.441
-0.168,-2.755,0.636,0.366,17.822,-45.41,0.655,4.0,0.692,84.106,93.75,162.231
-0.323,-2.287,0.641,-68.115,25.452,-65.125,0.669,2.945,0.219,58.167,65.918,80.75
-0.101,-2.125,0.807,-69.397,16.113,-103.088,-0.083,2.027,0.548,79.529,-8.484,42.847
0.127,-1.811,0.765,-40.222,24.292,-131.042,-0.376,1.821,0.717,58.96,-36.377,78.064
0.197,-1.562,0.861,-17.944,32.776,-146.362,-0.097,1.708,0.779,34.546,-18.677,116.211
0.272,-1.34,1.003,-18.677,35.034,-154.846,0.323,1.406,0.733,32.41,7.446,138.794
0.404,-1.021,1.088,-20.63,32.41,-159.546,0.523,0.957,0.8,27.588,14.16,140.503
