aX,aY,aZ,gX,gY,gZ
-0.060,-0.115,0.939,-2.686,-0.122,-2.075
-0.061,-0.117,0.939,-2.319,0.366,-1.587
-0.054,-0.119,0.938,-1.892,0.854,-1.160
-0.051,-0.119,0.937,-0.977,1.099,-0.549
-0.046,-0.116,0.940,0.305,1.038,0.061
-0.042,-0.120,0.943,1.892,1.099,1.099
-0.046,-0.125,0.949,3.540,1.099,2.136
-0.053,-0.127,0.949,3.906,0.977,2.686
-0.058,-0.136,0.958,3.967,0.671,2.747
-0.062,-0.143,0.958,2.686,1.160,2.625
-0.071,-0.145,0.958,0.671,2.075,2.441
-0.068,-0.147,0.953,-0.488,2.502,1.709
-0.066,-0.152,0.954,-0.610,2.502,1.160
-0.066,-0.148,0.954,-1.038,2.502,0.305
-0.061,-0.141,0.953,-1.831,2.808,-0.549
-0.057,-0.138,0.949,-2.136,2.930,-1.160
-0.052,-0.129,0.945,-2.197,2.625,-1.465
-0.051,-0.118,0.941,-1.465,2.319,-1.099
-0.054,-0.114,0.940,0.793,1.465,-0.366
-0.058,-0.116,0.950,3.357,0.122,-0.061
-0.057,-0.117,0.963,4.944,-0.793,0.244
-0.053,-0.115,0.971,5.005,-0.977,0.183
-0.051,-0.119,0.981,4.578,-1.038,0.244
-0.047,-0.122,0.987,2.991,-1.160,0.671
-0.052,-0.126,0.985,0.854,-0.793,1.587
-0.056,-0.125,0.975,-1.221,-0.122,1.831
-0.059,-0.124,0.964,-2.319,0.000,1.709
-0.058,-0.120,0.953,-2.014,0.000,1.465
-0.056,-0.122,0.946,-1.038,-0.183,1.099
-0.053,-0.125,0.943,0.244,0.000,1.099
-0.053,-0.132,0.946,1.831,-0.061,1.709
-0.051,-0.144,0.950,2.136,0.244,1.953
-0.050,-0.148,0.949,1.404,0.732,2.075
-0.047,-0.143,0.943,0.732,1.404,2.197
-0.046,-0.142,0.940,0.610,1.831,2.075
0.272,-1.480,1.219,-20.508,37.048,68.787
0.225,-1.664,1.270,-24.658,17.151,71.228
0.142,-1.790,1.256,-40.527,4.333,76.538
0.063,-1.895,1.168,-60.364,-0.427,80.383
0.007,-1.941,1.070,-75.073,-1.587,80.688
-0.668,-3.779,2.970,-136.047,15.320,87.463
-1.749,-2.054,-0.122,-368.225,93.750,60.974
-1.188,-1.532,0.340,-212.891,30.762,-10.254
0.288,-1.438,0.155,37.964,-49.622,-54.810
0.076,-1.724,0.955,201.599,-114.197,-51.331
0.011,-2.112,1.265,162.659,-105.957,-23.437
-0.217,-1.502,0.460,9.644,-29.602,10.803
-0.277,-1.154,0.471,-32.837,-9.521,0.183
-0.088,-1.025,0.448,-21.240,4.211,-15.198
-0.003,-0.930,0.555,6.531,14.832,-20.630
0.015,-0.883,0.690,27.100,21.179,-19.470
0.068,-0.799,0.816,32.959,25.696,-15.259
0.143,-0.681,0.919,36.133,26.978,-8.972
0.195,-0.630,1.010,40.039,24.170,-2.747
0.216,-0.551,1.081,37.720,20.874,3.235
0.217,-0.455,1.106,30.090,20.569,5.981
0.190,-0.352,1.129,20.996,22.400,4.089
0.177,-0.271,1.151,11.841,25.940,-1.953
0.139,-0.174,1.165,4.517,29.358,-12.451
