aX,aY,aZ,gX,gY,gZ
0.550,0.291,-0.828,25.635,6.165,-7.751
0.568,0.269,-0.803,27.649,5.981,-7.446
0.559,0.247,-0.790,30.701,7.568,-6.653
0.578,0.228,-0.800,30.579,10.803,-4.028
0.578,0.225,-0.803,26.611,12.573,-1.526
0.564,0.241,-0.808,20.996,11.780,0.183
0.539,0.269,-0.823,14.465,9.521,0.427
0.528,0.293,-0.831,8.362,6.836,0.366
0.516,0.327,-0.849,5.066,4.211,-0.244
0.522,0.337,-0.865,5.127,2.136,-0.977
0.526,0.328,-0.851,6.714,-0.488,-2.197
0.548,0.316,-0.842,9.827,-1.831,-2.808
0.568,0.292,-0.839,12.817,-2.625,-3.113
0.571,0.283,-0.813,14.038,-3.906,-3.479
0.566,0.263,-0.789,14.282,-4.333,-2.991
0.569,0.248,-0.781,13.855,-2.869,-1.770
0.554,0.252,-0.761,11.230,-1.160,0.671
0.542,0.281,-0.734,9.033,1.465,2.869
0.538,0.302,-0.750,7.507,4.700,3.418
0.526,0.321,-0.766,5.676,7.080,3.418
0.531,0.335,-0.802,5.310,9.033,3.357
0.528,0.344,-0.822,6.409,9.583,2.686
0.528,0.332,-0.832,8.545,9.338,1.770
0.538,0.314,-0.837,10.681,8.545,1.465
0.543,0.297,-0.835,11.414,6.958,1.404
0.540,0.290,-0.815,10.803,5.127,1.404
0.540,0.285,-0.796,9.766,4.822,1.831
0.537,0.286,-0.791,8.667,5.859,2.197
0.532,0.301,-0.802,8.240,7.202,2.319
0.525,0.304,-0.805,8.179,8.240,2.441
0.520,0.311,-0.805,6.958,6.836,1.404
0.517,0.308,-0.812,5.981,5.310,0.366
0.518,0.315,-0.820,5.737,4.272,-0.122
0.520,0.322,-0.828,6.470,2.869,-0.671
0.529,0.318,-0.826,8.179,1.404,-1.526
0.537,0.306,-0.819,8.911,0.732,-2.136
1.714,-0.257,1.272,-17.090,99.060,18.677
1.941,-0.382,1.421,-26.917,124.390,31.799
2.107,-0.501,1.432,-50.537,140.259,49.500
2.146,-0.563,1.386,-91.614,140.808,69.275
2.029,-0.527,1.279,-139.465,130.005,88.013
1.812,-0.376,1.150,-179.016,120.789,104.370
1.571,-0.204,0.990,-198.303,122.375,118.103
1.337,-0.071,0.782,-198.608,134.705,130.981
1.141,-0.121,0.614,-185.913,151.978,145.325
0.928,-0.195,0.449,-172.791,157.715,153.442
0.733,-0.257,0.323,-165.771,159.668,162.292
0.478,-0.261,0.185,-171.326,158.508,171.021
0.194,-0.271,0.005,-187.561,155.396,174.988
-0.178,-0.279,-0.229,-210.144,151.123,175.049
-0.764,-0.203,-0.622,-234.192,152.161,171.021
-1.107,-0.013,-1.105,-246.948,161.682,156.738
-1.224,0.254,-1.690,-239.746,176.086,126.343
-1.102,0.467,-2.124,-225.159,199.707,94.727
-0.963,0.572,-2.294,-203.064,205.078,79.163
-0.719,0.644,-2.318,-163.208,182.129,76.172
-1.577,1.152,-2.255,-112.000,146.484,78.003
-0.326,0.479,-1.976,-50.903,144.043,83.069
-0.854,0.653,-1.776,-21.729,123.840,18.372
-0.914,0.485,-1.590,2.441,114.258,-5.615
-0.921,0.208,-1.549,15.259,126.709,-5.981
-0.953,0.267,-1.619,2.136,155.579,-18.738
-0.867,0.456,-1.746,-23.010,166.565,-35.950
-0.845,0.612,-1.816,-49.438,152.832,-60.181
-0.657,0.655,-1.807,-62.134,122.375,-87.402
-0.526,0.636,-1.656,-58.838,89.233,-107.605
-0.380,0.561,-1.591,-47.668,58.777,-118.835
-0.124,0.418,-1.446,-27.710,41.748,-118.469
0.110,0.266,-1.386,-0.916,26.123,-104.614
0.282,0.113,-1.244,23.376,11.780,-86.426
0.427,-0.045,-1.137,38.940,-0.244,-73.181
0.576,-0.182,-1.013,38.391,-12.268,-68.970
0.683,-0.205,-0.925,24.658,-25.513,-66.895
0.850,-0.230,-0.840,10.132,-31.799,-62.134
0.760,-0.121,-0.776,-8.423,-40.955,-54.626
0.686,0.061,-0.778,-24.658,-51.392,-34.302
0.630,0.299,-0.777,-26.978,-49.988,-14.587
0.511,0.476,-0.774,-16.602,-47.546,-4.333
0.384,0.557,-0.736,1.465,-40.955,-1.892
0.316,0.546,-0.678,24.658,-24.475,-1.709
0.276,0.511,-0.659,43.091,-4.028,-1.831
0.263,0.453,-0.679,53.040,16.418,-3.784
0.289,0.371,-0.734,53.528,31.677,-6.470
0.288,0.312,-0.808,43.640,36.804,-8.850
0.312,0.308,-0.890,30.640,36.133,-11.108
0.352,0.305,-0.948,19.958,30.273,-13.184
0.395,0.296,-0.991,13.306,21.240,-14.587
0.416,0.294,-0.998,9.583,11.108,-13.794
0.411,0.267,-0.991,8.118,1.953,-11.841
0.427,0.261,-0.962,8.789,-2.625,-9.399
0.443,0.248,-0.930,8.240,-7.019,-5.310
0.411,0.263,-0.888,6.714,-12.146,0.854
0.381,0.289,-0.838,4.211,-14.648,6.165
0.339,0.345,-0.792,0.732,-15.076,9.521
0.305,0.412,-0.784,-2.502,-11.292,10.193
0.286,0.435,-0.796,-4.028,-6.104,6.531
0.291,0.426,-0.824,-3.967,-1.221,1.465
0.304,0.411,-0.857,-2.014,3.723,-1.465
0.316,0.392,-0.881,2.075,8.240,-2.502
0.341,0.365,-0.901,6.348,10.559,-3.845
0.380,0.335,-0.916,10.803,12.146,-3.906
0.420,0.306,-0.924,15.930,13.245,-2.075
0.387,0.287,-0.899,19.836,13.245,0.183
0.375,0.292,-0.887,22.888,13.550,3.845
0.379,0.317,-0.888,24.048,13.428,6.531
0.365,0.330,-0.888,22.217,10.986,5.615
0.349,0.355,-0.877,18.188,7.080,3.906
0.335,0.369,-0.866,13.855,4.883,2.930
0.329,0.379,-0.867,10.864,4.456,2.441
0.326,0.377,-0.872,9.888,5.066,2.441
0.319,0.366,-0.864,10.254,6.592,3.052
0.332,0.342,-0.871,11.292,8.728,4.456
0.338,0.332,-0.874,10.559,10.681,6.592
0.333,0.341,-0.871,7.812,11.169,7.996
0.329,0.373,-0.889,5.005,11.292,8.484
0.327,0.409,-0.908,2.319,10.376,6.348
0.326,0.423,-0.917,0.854,7.812,2.625
0.322,0.427,-0.913,1.099,5.798,-0.488
0.321,0.419,-0.918,2.930,5.432,-1.892
0.327,0.405,-0.923,4.944,5.127,-2.197
0.337,0.395,-0.930,6.287,4.089,-1.831
0.343,0.383,-0.930,7.629,2.502,-1.099
0.338,0.370,-0.917,8.301,0.488,-0.122
0.335,0.361,-0.900,8.728,-0.732,1.160
0.335,0.356,-0.891,8.301,-1.038,2.502
