aX,aY,aZ,gX,gY,gZ
0.484,-0.516,-0.755,3.418,2.075,2.747
0.484,-0.514,-0.756,2.197,2.991,2.563
0.486,-0.517,-0.752,1.343,3.052,1.770
0.489,-0.517,-0.744,0.854,2.808,1.099
0.487,-0.521,-0.737,0.854,1.831,0.427
0.478,-0.523,-0.734,1.038,1.099,0.183
0.626,-0.934,1.138,-60.791,15.320,7.507
0.634,-0.849,1.381,-65.308,26.550,10.925
0.634,-0.742,1.620,-59.021,43.335,16.785
0.651,-0.544,1.762,-38.574,61.768,24.048
0.718,-0.337,1.826,-3.784,81.299,32.349
0.801,-0.109,1.781,40.344,99.731,40.344
0.958,0.177,1.615,88.562,119.507,49.316
1.215,0.398,1.345,134.888,142.334,60.120
1.539,0.652,0.998,171.692,165.405,62.744
2.002,1.040,0.594,196.838,183.167,46.814
2.341,1.380,0.192,214.966,185.120,4.883
2.471,1.480,-0.162,231.445,167.297,-58.777
2.337,1.532,-0.574,238.831,139.099,-121.521
2.103,1.368,-0.884,233.765,131.775,-162.109
1.944,1.207,-1.046,220.459,138.062,-190.063
1.726,1.141,-1.243,207.092,130.676,-211.609
1.425,1.072,-1.416,204.529,117.493,-228.760
0.967,0.948,-1.700,210.388,101.685,-242.371
0.472,0.661,-2.043,217.346,89.539,-248.657
0.115,0.434,-2.407,211.792,86.853,-244.507
-0.182,0.010,-2.544,191.467,79.651,-232.300
-0.340,-0.236,-2.481,158.386,48.706,-214.111
-0.477,-0.241,-2.224,113.953,2.808,-195.679
-0.572,-0.159,-1.921,84.106,-41.626,-176.697
-0.592,-0.198,-1.734,77.698,-71.533,-155.579
-0.559,-0.293,-1.612,80.444,-79.224,-134.888
-0.524,-0.329,-1.507,77.087,-74.646,-118.713
-0.474,-0.344,-1.406,68.909,-67.383,-105.713
-0.401,-0.407,-1.310,61.951,-63.293,-94.971
-0.366,-0.443,-1.251,55.420,-60.547,-84.106
-0.341,-0.487,-1.222,50.171,-57.922,-73.547
-0.322,-0.562,-1.216,46.753,-55.786,-64.453
-0.326,-0.660,-1.213,40.588,-50.903,-59.448
-0.329,-0.747,-1.176,29.236,-41.992,-56.396
-0.312,-0.833,-1.120,15.625,-30.945,-52.063
-0.219,-0.908,-1.036,3.113,-20.264,-45.837
-0.093,-0.921,-0.956,-4.700,-13.306,-35.950
0.083,-0.863,-0.870,-5.493,-11.841,-21.667
0.277,-0.780,-0.802,-1.282,-15.869,-5.676
0.423,-0.664,-0.767,3.601,-23.437,8.179
0.557,-0.550,-0.725,8.057,-31.677,17.517
0.638,-0.461,-0.709,11.902,-37.781,19.531
0.679,-0.415,-0.704,13.916,-40.588,14.954
0.665,-0.420,-0.724,13.794,-38.635,6.653
0.630,-0.457,-0.736,10.010,-31.311,-2.502
0.590,-0.478,-0.722,3.418,-20.935,-9.216
0.541,-0.479,-0.711,-2.319,-12.268,-13.855
0.519,-0.493,-0.680,-5.920,-5.310,-15.320
0.481,-0.504,-0.652,-6.226,-2.075,-15.137
0.432,-0.515,-0.635,-3.601,-1.221,-14.526
0.381,-0.536,-0.622,-0.122,-0.183,-13.550
0.345,-0.544,-0.621,2.808,0.916,-12.207
0.329,-0.562,-0.629,4.700,3.174,-9.949
0.346,-0.562,-0.634,5.981,6.287,-7.507
0.383,-0.566,-0.642,7.751,8.789,-5.188
0.425,-0.587,-0.658,11.108,9.277,-2.747
0.462,-0.581,-0.682,13.977,8.118,-0.183
0.501,-0.568,-0.716,15.930,8.179,3.540
0.542,-0.562,-0.745,15.991,9.033,6.653
0.567,-0.545,-0.757,14.648,9.216,7.324
0.567,-0.532,-0.766,12.939,8.728,6.348
0.554,-0.523,-0.772,11.169,8.057,5.066
0.536,-0.514,-0.767,8.484,7.263,3.662
0.519,-0.508,-0.754,5.859,6.653,2.563
0.505,-0.510,-0.734,3.723,6.165,1.953
0.495,-0.505,-0.716,2.686,5.737,1.587
0.494,-0.503,-0.710,2.930,5.188,2.075
0.507,-0.507,-0.703,4.456,4.639,3.540
0.521,-0.504,-0.701,5.859,3.296,4.456
0.532,-0.498,-0.700,7.446,1.465,5.188
0.540,-0.497,-0.705,9.338,0.122,5.737
0.549,-0.497,-0.709,10.681,-1.160,5.493
0.543,-0.502,-0.723,12.024,-2.136,5.005
0.539,-0.513,-0.734,12.695,-2.747,4.456
0.534,-0.526,-0.736,12.268,-3.052,3.357
0.526,-0.534,-0.738,11.047,-2.808,2.563
0.525,-0.539,-0.739,9.521,-2.441,2.014
0.525,-0.538,-0.740,8.057,-2.258,1.465
0.527,-0.529,-0.741,7.202,-2.197,1.038
0.531,-0.517,-0.738,6.775,-2.258,1.282
0.537,-0.508,-0.740,6.775,-2.136,1.465
0.533,-0.504,-0.746,6.775,-2.197,1.038
0.527,-0.507,-0.751,6.592,-2.075,0.610
0.519,-0.509,-0.754,6.104,-1.526,-0.061
0.511,-0.507,-0.756,5.737,-0.610,-0.427
0.510,-0.511,-0.758,5.371,-0.061,-0.671
0.512,-0.524,-0.758,4.700,0.488,-0.977
0.513,-0.529,-0.756,3.601,0.793,-0.977
0.515,-0.521,-0.746,2.197,0.977,-0.610
0.519,-0.509,-0.741,1.648,1.038,-0.305
0.522,-0.500,-0.739,1.892,0.916,-0.305
0.524,-0.491,-0.739,2.380,0.671,-0.061
0.520,-0.480,-0.731,2.258,0.427,-0.183
0.515,-0.479,-0.728,2.441,0.183,-0.854
0.505,-0.482,-0.731,2.686,0.244,-0.916
0.501,-0.488,-0.731,2.563,0.977,-0.977
0.501,-0.498,-0.731,2.014,2.075,-0.793
0.500,-0.500,-0.731,2.075,2.686,-0.244
0.500,-0.505,-0.732,1.953,3.418,0.000
0.500,-0.510,-0.730,1.953,4.089,0.122
0.501,-0.505,-0.730,2.014,4.761,0.488
0.506,-0.496,-0.731,2.258,5.432,0.793
0.512,-0.489,-0.741,2.869,5.554,0.977
0.518,-0.480,-0.751,3.174,5.310,1.282
0.526,-0.477,-0.756,2.625,5.615,1.282
0.529,-0.482,-0.756,1.770,4.944,0.732
0.528,-0.490,-0.753,1.404,3.723,-0.061
0.524,-0.497,-0.750,1.221,2.625,-0.732
0.518,-0.506,-0.745,0.977,1.709,-1.221
0.514,-0.508,-0.737,0.916,1.099,-0.916
0.515,-0.500,-0.727,0.610,1.343,-0.427
0.521,-0.498,-0.725,0.977,1.953,0.000
0.518,-0.495,-0.727,1.709,1.953,0.061
0.513,-0.499,-0.724,1.770,1.526,-0.305
0.506,-0.499,-0.722,2.075,1.648,-0.427
0.504,-0.487,-0.726,2.808,2.319,0.122
0.510,-0.484,-0.737,3.418,2.686,0.549
0.517,-0.491,-0.746,3.235,2.808,0.610
0.517,-0.492,-0.747,2.380,2.930,0.244
